edition_key,work_english_title,translator,publication_year,ask_who,ask_contact,host_site,host_permission_claim,ask_for,priority,status,first_contact_date,last_followup_date,next_followup_date,followup_count,response_summary,grant_license,usage_now,source_url,notes
arberry_ring_of_the_dove,The Ring of the Dove,A. J. Arberry,1953,Luzac / Arberry estate,verify who currently holds the Luzac Arberry English,muslimphilosophy.com,No publisher permission posted.,CC-BY or CC-BY-SA for the Arberry English of Tawq al-Hamama,medium,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/hazm/dove/ringdove.html,Public HTML GET. Nykl 1931 is a separate edition and still in copyright until 2027.
inati_isharat_logic,Remarks and Admonitions: On Logic / Ibn Sina and Mysticism,Shams Constantine Inati,1984 / 1996,Pontifical Institute of Mediaeval Studies / Kegan Paul,PIMS permissions; Kegan Paul / Routledge for the mysticism volume,muslimphilosophy.com,No publisher permission posted.,CC-BY or CC-BY-SA covering both Inati Isharat volumes,medium,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/books/inati1.pdf,One letter for inati1+inati2.
rahman_avicenna_psychology_1952,Avicenna's Psychology,Fazlur Rahman,1952,Oxford University Press / Hyperion reprint rights,OUP permissions,muslimphilosophy.com,No publisher permission posted.,CC-BY or CC-BY-SA for the Rahman English,low,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/books/najat.pdf,Confirm title page after OCR. OUP odds are low.
genequand_ibn_rushd_metaphysics_lam,Ibn Rushd's Metaphysics (Book Lam),Charles Genequand,1984,Brill,https://brill.com/page/rights (permissions),muslimphilosophy.com,No publisher permission posted.,CC-BY or CC-BY-SA for the Genequand English,low,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/books/ir-meta.pdf,Brill almost never dumps CC-BY on a monograph.
abul_quasem_bidayat_hidaya,The Beginning of Guidance (Bidayat al-Hidaya),Muhammad Abul Quasem,1977,Muhammad Abul Quasem / Kuala Lumpur 1977 imprint,"Traditional Hikma contact form may know the holder they asked; still write the translator/publisher, not only the host",traditionalhikma.com,Generic site-wide 'posted with permission from the copyright holders.' Holder unnamed.,CC-BY or CC-BY-SA for the Abul Quasem English,medium,not_started,,,,0,,,train_ok,https://traditionalhikma.com/wp-content/uploads/2015/03/Beginning-of-Guidance.pdf,Watt 1953 already has a Bidayat in Faith and Practice. This is a fuller standalone translation.
hikam_ibn_ata_allah_th,Al-Hikam (Sufi Aphorisms) of Ibn Ata Allah,"(no title page; 264 aphorisms, likely Victor Danner)",(confirm; likely 1973/1978),Victor Danner estate / Paulist Press or Brill — confirm first,Traditional Hikma contact form may know which holder they asked,traditionalhikma.com,Generic 'posted with permission from the copyright holders.' Holder unnamed. Posted file has no imprint page.,CC-BY or CC-BY-SA if this is the Danner English,medium,not_started,,,,0,,,train_ok,https://traditionalhikma.com/wp-content/uploads/2015/03/Hikam-Ibn-Ata-Allah.pdf,OpenITI 0709IbnCataAllahSikandari.HikamCataiyya. Do not write Danner until a title page or colophon is found.
ibn_farid_khamriyya_th,Khamriyyah (The Wine Song) of Shaykh 'Umar Ibn al-Farid,A. Sefi,1922,n/a — US PD,,traditionalhikma.com (JSTOR-stamped scan of BSOAS 1922),Host 'posted with permission' is irrelevant; the article is 1922.,n/a,low,n_a_already_pd,,,,0,Title page is BSOAS vol. 2 no. 2 (1922). Moved to pd-english as sefi_ibn_farid_khamriyya_1922.txt.,,redistribute_ok,https://traditionalhikma.com/wp-content/uploads/2015/03/The-Wine-Song-of-Ibn-Farid.pdf,OpenITI 0632SharafDinIbnFarid.Diwan. JSTOR chrome is not a license. No letter.
hallaj_tawasin_th,The Tawasin of Mansur al-Hallaj,Aisha Abd Ar-Rahman At-Tarjumana (Aisha Bewley),(Diwan Press; confirm year),Aisha Bewley / Diwan Press,"Traditional Hikma contact form may know the holder they asked; still write Bewley/Diwan, not only the host",traditionalhikma.com,Generic 'posted with permission from the copyright holders.' Holder unnamed. Translator is on page 1.,CC-BY or CC-BY-SA for the Bewley/At-Tarjumana English,low,not_started,,,,0,,,train_ok,https://traditionalhikma.com/wp-content/uploads/2015/03/The-Tawasin-of-Mansur-al-Hallaj.pdf,No Hallaj Tawasin URI in the current OpenITI inventory. Align later.
davis_iqtisad_2005,"Al-Ghazali on Divine Essence (Iqtisad fi al-I'tiqad, partial)",D. Morgan Davis,2005,D. Morgan Davis,ghazali.org dissertations page: posted with kind permission of the author,ghazali.org,"Explicit: 'with kind permission from the author. Copyright 2005 D. Morgan Davis.' That is permission to ghazali.org to host, not CC-BY to the world.",CC-BY or CC-BY-SA from the author (already friendly to open posting),high,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/Iqtisad%20Dissertation%20final.pdf,Best 'they already said yes to a host' lead. Live PDF confirmed 2026-08-17. Ask the author to re-license CC-BY for the dataset. Copyright page: All Rights Reserved.
mccall_book_of_knowledge_1940,The Book of Knowledge (Kitab al-'Ilm),William Alexander McCall,1940,Hartford Seminary / McCall estate,Hartford International University archives; ghazali.org webmaster may know how they obtained the scan,ghazali.org,Site-wide fair use claim only. No named author permission on the dissertations page for McCall.,CC-BY or CC-BY-SA for the McCall English of Kitab al-'Ilm,high,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/McCall-1940.pdf,522-page unpublished 1940 thesis. Best new Ihya English. Unpublished-thesis term is not pre-1930 PD.
skellie_wonders_of_heart_1938,The Religious Psychology of al-Ghazzali (Wonders of the Heart),Walter James Skellie,1938 / UMI 1977,Fons Vitae / Skellie estate,Fons Vitae (Louisville) published a later edition,ghazali.org,"UMI 1977 copyright notice on the scan: Walter James Skellie, all rights reserved. Host fair-use claim only.",CC-BY or CC-BY-SA for the Skellie English,medium,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/skillie.pdf,"Fons Vitae is the commercial rights holder for the later typeset edition. Ask them, not only the host."
calverley_worship_1992,Mysteries of Worship in Islam,Edwin Elliot Calverley,1992 Kitab Bhavan reprint (Hartford 1923 / 1925 original),Kitab Bhavan (this scan) or Calverley estate for the 1925 text,"Kitab Bhavan, Daryaganj, New Delhi",ghazali.org,Fair-use posting of a 1992 Indian reprint. Not a 1925 PD scan.,"CC-BY or CC-BY-SA, or a title-page scan of a 1925 copy so we can switch to pd-english",medium,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/worship.pdf,"If a 1925 original is public-GET later, move that file to pd-english and retire this reprint."
brewster_just_balance_1978,The Just Balance (al-Qistas al-Mustaqim),D. P. Brewster,1978,D. P. Brewster estate / Sh. Muhammad Ashraf,"Ashraf, Lahore; ghazali.org lists the PDF",ghazali.org,Copyright 1978 by D. P. Brewster on the title page. Host fair-use only.,CC-BY or CC-BY-SA for the Brewster English,medium,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/just-bal.pdf,Short standalone treatise. Title page confirmed.
abu_zayd_iqtisad_1970,Al-Ghazali on Divine Predicates and their Properties,Abdu-r-Rahman Abu Zayd,1970,Abu Zayd / Sh. Muhammad Ashraf / McGill IIS,McGill Institute of Islamic Studies,ghazali.org,Fair-use posting of the Ashraf Lahore edition. No named author permission.,CC-BY or CC-BY-SA for the Abu Zayd English,medium,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/abu-zayd.pdf,Different Iqtisad slice than Davis 2005. One letter can mention both if writing Ashraf.
hammad_mustasfa_vol1_1987,Al-Ghazali's Juristic Doctrine in al-Mustasfa (vol. 1 translation),Ahmad Zaki Mansur Hammad,1987,Ahmad Zaki Hammad / University of Chicago dissertation office,Author later published with ISCA; confirm current rights,ghazali.org,Fair-use posting of the 1987 Chicago PhD. No named author permission on the dissertations page.,CC-BY or CC-BY-SA covering vol. 1 (and vol. 2 if granted),medium,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/azhmd-p1.pdf,"azhmd-p2.pdf is dissertation volume two and is on disk; OCR shows it still translates Mustasfa volume one, not a second Arabic book. One letter covers both PDFs."
umar_ibrahim_hajj_1975,The Book on the Secrets of Pilgrimage,Ibrahim Umar,1975,Ibrahim Umar / American University in Cairo,AUC thesis 340,ghazali.org,Fair-use posting of an AUC MA thesis. No named author permission.,CC-BY or CC-BY-SA for the Umar English,low,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/hajj.pdf,Short Ihya hajj book.
stern_ghazali_repentance,Al-Ghazzali on Repentance,Martin S. Stern,"c. 1978 (Sterling Publishers, New Delhi)",Sterling Publishers / Martin S. Stern,"Sterling Publishers, Green Park Extension, New Delhi; APT Books distributed in New York",ghazali.org,Fair-use posting of a Sterling/APT commercial edition. All rights reserved on the imprint page.,CC-BY or CC-BY-SA for the Stern English,low,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/gz-repent.pdf,"Ihya Book 31. OCR confirms Sterling Publishers New Delhi imprint, not a typescript thesis."
bayrak_hayakil_nur_1998,The Shape of Light (Hayakal al-Nur),Tosun Bayrak al-Jerrahi,1998,Fons Vitae / Tosun Bayrak estate,https://fonsvitae.com/,traditionalhikma.com,"Generic 'posted with permission from the copyright holders.' Title page: © 1998 Tosun Bayrak, all rights reserved.",CC-BY or CC-BY-SA for the Bayrak English,low,not_started,,,,0,,,train_ok,https://traditionalhikma.com/wp-content/uploads/2015/08/Hakayal-Al-Nur-ny-Shihabuddin-Yahya-al-Suhrawardi.pdf,Same Fons Vitae ask as Skellie if writing one letter.
rosenthal_muqaddimah_hikma,The Muqaddimah,Franz Rosenthal,1958,Princeton University Press / Bollingen,PUP permissions,traditionalhikma.com,Generic host permission. Rosenthal/PUP remain the rights holders.,CC-BY or CC-BY-SA (odds are low; PUP almost never dumps CC-BY on Rosenthal),low,not_started,,,,0,,,train_ok,https://traditionalhikma.com/wp-content/uploads/2015/08/The-Muqaddimah-by-Ibn-Khaldun-Translated-by-Franz-Rosenthal.pdf,ATHAR already holds this English as eval_internal. Public GET does not make it shippable. Training on the Hikma file is allowed.
shammas_maarij_1958,Al-Ghazali's The Ascent to the Divine (Ma'arij al-Quds),Yusuf Easa Shammas,1958,Shammas estate / Hartford Seminary / UMI,Hartford International University archives,ghazali.org,UMI copyright Yusuf Easa Shammas. Host fair-use only.,CC-BY or CC-BY-SA for the Shammas English of Ma'arij al-Quds,high,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/shammas.pdf,518-page full treatise. Same Hartford channel as McCall/Skellie.
farah_marriage_ihya,Book on the Etiquette of Marriage,Madelain Farah,1984,University of Utah Press / Farah estate,Utah Press permissions,ghazali.org,Fair-use posting of the Utah Press translation. No named author permission.,CC-BY or CC-BY-SA for the Farah English,medium,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/marriage.pdf,Ihya nikah book. Commercial press — odds are low.
masumi_razi_akhlaq_1978,Imam Razi's 'Ilm al-Akhlaq,M. Saghir Hasan Ma'sumi,1978 / 1992 Kitab Bhavan reprint,Kitab Bhavan / Ma'sumi estate,"Kitab Bhavan, Daryaganj, New Delhi (same house as the Calverley 1992 reprint)",muslimphilosophy.com,No publisher permission posted. Scan is a 1992 Indian reprint.,CC-BY or CC-BY-SA for the Ma'sumi English,medium,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/books/razi-akhlak.pdf,Bundle with the Calverley Kitab Bhavan letter if writing one Indian-reprint ask.
tahawi_naruji,The Creed of al-Tahawi,Abu Adam al-Naruji,1428H / ~2007,Abu Adam al-Naruji / marifah.net,www.marifah.net (release imprint on the PDF),traditionalhikma.com,Generic host permission. marifah.net released the file.,CC-BY or CC-BY-SA for the Naruji English (commentary can stay excepted),low,not_started,,,,0,,,train_ok,https://traditionalhikma.com/wp-content/uploads/2015/02/The-Creed-of-Al-Tahawi-Translation-with-Added-Commentary-by-Shaykh-Abu-Adam-al-Naruji.pdf,Living net translation. Short creed. Ask the translator directly.
karim_ihya_1993,Revival of Religious Learnings (Ihya Ulum-id-Din),Fazlul Karim,1993,Darul Ishaat (Karachi) / Fazlul Karim estate,"Darul Ishaat, Urdu Bazar, Karachi (imprint on the 1993 scans)",ghazali.org,Site-wide fair use claim only. Not a publisher license. The 1993 title page reserves composing rights.,CC-BY or CC-BY-SA for the Karim English of the Ihya,medium,not_started,,,,0,,,train_ok,http://www.ghazali.org/books/ihya-v1.pdf,Largest public-GET English Ihya (4 vols) but abridged and via Urdu. Do not treat a grant as a complete Arabic pair. Medium because quality/completeness is weaker than McCall/Shammas scholarly theses.
nahj_balagha_alislam,Nahjul Balagha (Peak of Eloquence),al-islam.org English (translator not OCR'd from the printpdf export),modern,Ahlul Bayt Digital Islamic Library Project / English translator-publisher,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the English of Nahj al-Balagha,high,not_started,,,,0,,,train_ok,https://al-islam.org/nahjul-balagha-part-1-sermons,Two printpdf files (sermons + letters). Aligns to OpenITI NahjBalagha. Ask the host who holds the English.
sahifa_sajjadiyya_alislam,Al-Sahifa al-Kamilah al-Sajjadiyya,al-islam.org English (translator not OCR'd from the printpdf export),modern,Ahlul Bayt Digital Islamic Library Project / English translator-publisher,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the English of al-Sahifa al-Sajjadiyya,medium,not_started,,,,0,,,train_ok,https://al-islam.org/sahifa-al-kamilah-al-sajjadiyya-imam-ali-zayn-al-abidin,Book-length dua corpus. No Sahifa URI in the current OpenITI inventory.
tabatabai_mizan_alislam,Al-Mizan: An Exegesis of the Quran,Sayyid Sa'eed Akhtar Rizvi,1982–,WOFIS / Tawheed Institute / Tabatabai estate / al-islam.org,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the English of al-Mizan (series),low,not_started,,,,0,,,train_ok,https://al-islam.org/al-mizan-exegesis-quran-volume-1-sayyid-muhammad-husayn-tabatabai,Modern tafsir. Volumes 1–6 fetched. Lower priority than Nahj because there is no current OpenITI Arabic URI.
lantern_path_alislam,Lantern of the Path (Misbah al-Shari'a),Ansariyan English (unnamed on the landing page),2000,Ansariyan Publications / al-islam.org,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the English of Misbah al-Shari'a,low,not_started,,,,0,,,train_ok,https://al-islam.org/lantern-path-imam-jafar-al-sadiq,Short attributed work. Authorship of the Arabic is disputed.
tuhaf_uqul_alislam,Tuhaf al-Uqul: The Masterpieces of the Mind,Badr Shahin,2000,Ansariyan Publications / Badr Shahin,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Shahin English of Tuhaf al-Uqul,medium,not_started,,,,0,,,train_ok,https://al-islam.org/tuhaf-al-uqul-ibn-shuba-al-harrani,Book-length Imam sayings compilation.
ghurar_hikam_alislam,Ghurar al-Hikam wa Durar al-Kalim,Tahir Ridha Jaffer,2012,Ansariyan Publications / Tahir Ridha Jaffer,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Jaffer English of Ghurar al-Hikam,medium,not_started,,,,0,,,train_ok,https://al-islam.org/ghurar-al-hikam-wa-durar-al-kalim-exalted-aphorisms-and-pearls-speech,Large facing-page Ali aphorism collection. Distinct from Nahj.
uyun_akhbar_ridha_alislam,Uyun Akhbar Ar-Ridha,Ali Peiravi,2006,Ansariyan Publications / Ali Peiravi,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Peiravi English of Uyun Akhbar al-Rida,medium,not_started,,,,0,,,train_ok,https://al-islam.org/uyun-akhbar-ar-ridha-volume-1-shaykh-saduq,Two volumes fetched. Chapter spine.
khisal_alislam,Al-Khisal,Ali Peiravi and Talat June Peiravi,modern Ansariyan,Ansariyan Publications / Peiravi,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Peiravi English of al-Khisal,medium,not_started,,,,0,,,train_ok,https://al-islam.org/al-khisal-numeric-classification-traditions-characteristics-shaykh-saduq,Numbered-chapter hadith collection.
kamal_al_din_alislam,Kamaaluddin wa Tamaamun Ni'ma,Sayyid Athar Husayn S.H. Rizvi,modern Az-Zahra,Az-Zahra Publications / Rizvi,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Rizvi English of Kamal al-Din,medium,not_started,,,,0,,,train_ok,https://al-islam.org/kamaaluddin-wa-tamaamun-nima-vol-1-shaykh-saduq,Two volumes fetched.
shiite_creed_alislam,A Shi'ite Creed,Asaf A. A. Fyzee,1982,WOFIS / Fyzee estate,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Fyzee English of al-I'tiqadat,low,not_started,,,,0,,,train_ok,https://al-islam.org/shiite-creed-al-saduq,Short creed. WOFIS 1982 reprint of the Fyzee translation.
mufid_amali_alislam,"Al-Amali, The Dictations of Shaykh al-Mufid",Mulla Asgharali M. M. Jaffer,1998,World Federation of KSI Muslim Communities / Jaffer estate,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Jaffer English of Mufid's Amali,medium,not_started,,,,0,,,train_ok,https://al-islam.org/al-amali-dictations-shaykh-al-mufid-shaykh-al-mufid,42 sessions. World Federation 1998.
mufid_tashih_ictiqadat_alislam,The Emendation of a Shi'ite Creed,Irfan Abdul Hamid,WOFIS,WOFIS / Irfan Abdul Hamid,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Irfan English of Tashih al-I'tiqad,medium,not_started,,,,0,,,train_ok,https://al-islam.org/emendation-shiite-creed-shaykh-al-mufid,Pairs with shiite_creed_alislam (Saduq).
tusi_ghayba_alislam,Shaykh al-Tusi's Book of Occultation,Sayyid Athar Husayn S. H. Rizvi,2012,Ansariyan Publications / Rizvi,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Rizvi English of Kitab al-Ghayba,medium,not_started,,,,0,,,train_ok,https://al-islam.org/shaykh-al-tusis-book-occultation-shaykh-tusi,Ansariyan 2012. ISBN 978-964-219-287-8.
tusi_tenets_alislam,Tenets of Islam,unnamed (Islamic Seminary Publications),modern,Islamic Seminary Publications,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for this short Tusi booklet,low,not_started,,,,0,,,train_ok,https://al-islam.org/tenets-islam-shaykh-tusi,Short popular booklet. Not verified as Iqtisad.
numani_ghayba_alislam,Kitab al-Ghayba: The Book of Occultation,Abdullah al-Shahin,2003,Ansariyan Publications / Abdullah al-Shahin,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Shahin English of Nu'mani's Kitab al-Ghayba,medium,not_started,,,,0,,,train_ok,https://al-islam.org/kitab-al-ghayba-book-occultation-sheikh-abu-abdullah-muhammad-bin-ibraheem-bin-jafar-al-katib-numani,Ansariyan 2003. ISBN 964-438-428-8. Distinct from Tusi Ghayba.
saduq_essence_shia_faith_alislam,Essence of Shi'a Faith,Safi Hasan,2012,Maktaba Sibtain / Safi Hasan / Najafi commentary rights,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Safi Hasan English of I'tiqadat (and the Najafi commentary if separable),low,not_started,,,,0,,,train_ok,https://al-islam.org/essence-shia-faith-al-saduq,Second English of the same work as shiite_creed_alislam (Fyzee). Includes Najafi commentary.
tabarsi_mishkat_anwar_alislam,Mishkat ul-Anwar Fi Ghurar il-Akhbar,Lisa Zaynab Morgan and Ali Peiravi,2001,Ansariyan Publications / Peiravi / Morgan,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Peiravi/Morgan English of Mishkat al-Anwar,medium,not_started,,,,0,,,train_ok,https://al-islam.org/mishkat-ul-anwar-fi-ghurar-il-akhbar-lamp-niche-best-traditions-abu-ali-al-fadl-ibn-al-hasan-ibn-al,Ansariyan 2001. Complement to Makarim; not Ihtijaj.
askari_tafsir_alislam,Tafseer Imam Hasan Askari,Sayyid Athar Husayn S. H. Rizvi,2009,Ansariyan Publications / Rizvi,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Rizvi English of Tafsir al-Askari,medium,not_started,,,,0,,,train_ok,https://al-islam.org/tafseer-imam-hasan-askari,Ansariyan 2009. Attribution of the Arabic is disputed.
hilli_kashf_yaqin_alislam,Certainty Uncovered (Kashf al-Yaqin),Ali Akbar Aghili Ashtiani,2007,Ansariyan Publications / Aghili Ashtiani,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Aghili English of Kashf al-Yaqin,medium,not_started,,,,0,,,train_ok,https://al-islam.org/certainty-uncovered-jamal-al-din-ibn-yusuf-allamah-hilli,Ansariyan 2007. ISBN 978-964-438-925-2.
ibn_tawus_lohoof_alislam,Lohoof (Sighs of Sorrow),Sayyid Athar Husayn S. H. Rizvi,2006,Naba Cultural Organization / Rizvi,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Rizvi English of al-Luhuf,medium,not_started,,,,0,,,train_ok,https://al-islam.org/lohoof-sighs-sorrow-sayyid-ibn-tawus,Naba 2006. ISBN 964-8323-11-9.
ibn_qulawayh_kamil_ziyarat_alislam,Kamil Az-Ziyarah,Sayyid Athar Husayn S. H. Rizvi,2011,As-Serat Publications / Jafari Propagation Centre / Rizvi,https://al-islam.org/contact,al-islam.org,Free HTML/PDF GET. Site terms are not a CC grant to republish.,CC-BY or CC-BY-SA for the Rizvi English of Kamil al-Ziyarat,medium,not_started,,,,0,,,train_ok,https://al-islam.org/kamil-az-ziyarah-al-mirza-abu-al-qasim-al-qummi,"As-Serat / JPC 2011. Title page is Ibn Qulawayh, not Mirza Qummi."
